image_path,label,extracted_text
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/1MazpY3JiPY.jpg,fake,"iv
JAMUNA tv
লাইভে এসে পদত্যাগের ঘোষণা"
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/4lXgOxR4j_c.jpg,fake,"JOURNEY
ভাবিনি জয় ট্রাম্পের হয়ে ভোট চাইবে"
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/0UZEb0c9RCo.jpg,fake,"BREAKING NEWS
TRUMP FINALLY CAUGHT"
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/0Nx-sVe4pBY.jpg,fake,"হেরে গিয়েছে ছাত্র-জনতা
ওবায়দুল কাদেরের ভয়ঙ্কর মাস্টার প্ল্যানে"
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/4JNN5F8kNzg.jpg,fake,"দুপুরের
বাংলাদেশ
JOURNEY
শেখ হাসিনাকে আনাতে
ইন্ডিয়াতে গেল ডঃ ইউনুস
2023 I
কবে"
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/58O3bqV8Sxw.jpg,fake,"JOURNEY
আ.লীগের সামনে খাওয়া শেষ?"
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/1u0SCf3twNg.jpg,fake,"news today tv
জয় বাংলা স্লোগানে উত্তপ্ত
জয় বাংলা স্লোগানে উত্তাল আদালত প্রাঙ্গণ
নির্বাচনে অংশ নিতে শেখ হাসিনার নতুন বার্তা"
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/2Tj1eStJ-V0.jpg,fake,"এখানে মূল ছবি থেকে পাওয়া সমস্ত লেখা দেওয়া হলো:

বাংলা

বিষয়:
মহামান্য প্রধানমন্ত্রী শেখ হাসিনার
পক্ষে ১০ কাঠা সরকারি জায়গা
দিয়েছিল?

প্রাপক
মহামান্য প্রধানমন্ত্রী, গণপ্রজাতন্ত্রী
বাংলাদেশ সরকার।

প্রিয় ম্যাডাম,

আমার সশ্রদ্ধ সালাম জানিবেন।
আপনার রাজনৈতিক দূরদর্শিতা, প্রজ্ঞা
ও নেতৃত্বে বাংলাদেশ আজ উন্নয়নশীল
বিশ্বের রোল মডেল। আপনার বলিষ্ঠ
নেতৃত্বে পদ্মাসেতু, মেট্রোরেল, রুপপুর
পারমাণবিক বিদ্যুৎ কেন্দ্র, কর্ণফুলী
টানেলসহ অসংখ্য মেগা প্রকল্প
বাস্তবায়িত হয়েছে। আপনার সুযোগ্য
নেতৃত্বে ডিজিটাল বাংলাদেশ এখন
স্মার্ট বাংলাদেশের দিকে এগিয়ে
যাচ্ছে।
আপনার জন্য সর্বদা শুভকামনা।

তারিখ: ১৫-০৯-২০২৩

JOURNEY

হাসিনা আম্মা ১০ কাঠা 'প্লট' দিয়েছিল?- রবিন"
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/4RbMPjN0NIY.jpg,fake,"কপাল পুড়লো ইউনূসের
বাংলাদেশ আওয়ামী লীগ
news today tv
ডক্টর ইউনূসের পদত্যাগে রাজপথে কঠিন অ্যাকশন
জাতিসংঘের ঘোষণায় নির্বাচনে নামছে আ.লীগ"
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/JDP_G8p4RVY.jpg,fake,"entertainment
শীঘ্রই মুক্তি পাচ্ছে বাবর"
/content/drive/MyDrive/fake-news-multimodal/data/fake/BN/cXKc9vbS7Fo.jpg,fake,"দেশের
JOURNEY
দেশের প্রধানমন্ত্রী হতে যাচ্ছে জয়"
